Fold	Family	Subfamily
GTA	GT12	GT12-1
GTA	GT13	GT13-POMGNT1
GTA	GT13	GT13-MGAT1
GTA	GT14	GT14-1
GTA	GT15	GT15-1
GTA	GT16	GT16-1
GTA	GT16	GT16-2
GTA	GT17	GT17-1
GTA	GT2-B3GntL	GT2-B3GntL-1
GTA	GT2-Bre3	GT2-Bre3-1
GTA	Mixed_groups	GT2-Mix-1
GTA	GT2-CWR	GT2-CWR_Csl-1
GTA	GT2-CWR	GT2-CWR_Csl-2
GTA	Mixed_groups	GT2-Mix-2
GTA	GT2-CeS	GT2-CeS-1
GTA	GT2-CeS	GT2-CeS_putative
GTA	GT2-Chitin-HAS	GT2-Chitin-HAS-1
GTA	GT2-CHS	-
GTA	Mixed_groups	GT2-Mix-3
GTA	GT2-Class1	GT2-Class1-1
GTA	GT2-Class1	GT2-Class1-2
GTA	Mixed_groups	GT2-Mix-4
GTA	GT2-DPs	GT2-DPs_Bact
GTA	GT2-DPs	GT2-DPs_Mix
GTA	GT2-LpsRelated	GT2-LpsRelated-1
GTA	Mixed_groups	GT2-Mix-5
GTA	GT2-Rham-GlfT	-
GTA	GT21	GT21-1
GTA	GT21	GT21-2
GTA	GT21	GT21-3
GTA	GT21	GT21-4
GTA	GT24	GT24-1
GTA	GT25	-
GTA	GT27	GT27-1
GTA	GT31-Chsy	GT31-Chsy-1
GTA	GT31-Chsy	GT31-Chsy-2
GTA	GT31-Euk	GT31-Euk-1
GTA	GT31-Euk	GT31-Euk-2
GTA	Mixed_groups	GT31-Mix-1
GTA	GT31-Fringe	GT31-Fringe-1
GTA	Mixed_groups	GT31-67_Mix
GTA	GT31-Galt-Gnt	-
GTA	GT31-Glt	GT31-Glt_B3GLCT
GTA	GT31-Glt	GT31-Glt_C1GALT
GTA	GT32	GT32-1
GTA	GT32	GT32-2
GTA	GT32	GT32-3
GTA	GT32	GT32-4
GTA	GT32	GT32-5
GTA	GT34	GT34-1
GTA	GT40	GT40-1
GTA	GT43	GT43-B3GAT3
GTA	GT43	GT43-Mix-1
GTA	GT43	GT43-B3GAT2
GTA	GT43	GT43-Mix-2
GTA	GT43	GT43-B3GAT1
GTA	GT43	GT43-Nematode
GTA	GT45	GT45-1
GTA	GT49	GT49-B4GAT1like
GTA	GT49	GT49-Fungi
GTA	GT49	GT49-LARGE
GTA	GT54	GT54-MGAT4C
GTA	GT54	GT54-MGAT4AB
GTA	GT54	GT54-Chordate
GTA	GT55	GT55-1
GTA	GT6	GT6-Mix
GTA	GT6	GT6-A3GALT
GTA	GT6	GT6-ABO
GTA	GT6	GT6-GLT6D1
GTA	GT60	GT60-1
GTA	GT62	GT62-1
GTA	GT62	GT62-2
GTA	GT62	GT62-3
GTA	GT64	GT64-EXTLs
GTA	GT64	GT64-EXTs
GTA	GT64	GT64-Mix
GTA	GT67	-
GTA	GT7	GT7-1
GTA	GT75	GT75-1
GTA	GT75	GT75-2
GTA	GT75	GT75-3
GTA	GT77	GT77-1
GTA	GT77	GT77-2
GTA	GT78	-
GTA	GT8-Fun	GT8-Fun-1
GTA	Mixed_groups	GT8-GAUT_GATL_Mix
GTA	GT8-GATL	GT8-GATL-1
GTA	GT8-GAUT	GT8-GAUT-1
GTA	GT8-GAUT	GT8-GAUT-2
GTA	GT8-GAUT	GT8-GAUT-3
GTA	GT8-GAUT	GT8-GAUT-4
GTA	Mixed_groups	GT8-Mix-1
GTA	GT8-Glycogenin	GT8-Glycogenin-1
GTA	GT8-Glycogenin	GT8-Glycogenin-2
GTA	Mixed_groups	GT8-Mix-2
GTA	Mixed_groups	GT8-Mix-3
GTA	GT8-LpsGlt	-
GTA	GT8-Lrg	GT8-Lrg-1
GTA	GT8-XylT	GT8-XylT-1
GTA	GT81	GT81-1
GTA	GT81	GT81-2
GTA	Mixed_groups	GT2-DPs_81_Mix
GTA	GT81	GT81-3
GTA	GT82	GT82-1
GTA	GT84	GT84-1
GTA	GT84	GT84-2
GTA	GT88	-
GTA	Unclassified	Unclassified
